x,y,z,Type,State,extra
64,62,78,1,7,0|9|46|10
64,80,76,1,7,0|9|0|10
66,76,82,1,7,0|9|0|11
70,65,84,1,7,0|9|55|6
65,62,78,1,7,0|9|46|10
59,76,89,1,7,0|9|23|7
52,55,68,1,7,0|9|13|13
66,66,75,1,7,0|9|27|7
56,77,81,1,7,0|9|20|7
56,66,69,1,7,0|9|49|12
55,71,73,1,7,0|9|21|9
71,66,89,1,7,0|9|52|6
47,62,76,1,7,0|9|51|10
82,73,84,1,7,0|9|51|5
47,54,71,1,7,0|9|56|11
70,83,78,1,7,0|9|0|9
79,78,84,1,7,0|9|0|7
74,68,74,1,7,0|9|49|5
67,69,87,1,7,0|9|0|7
75,69,72,1,7,0|9|10|5
47,61,75,1,7,0|9|6|12
63,73,70,1,7,0|9|33|8
68,85,72,1,7,0|9|39|5
47,55,69,1,7,0|9|35|11
53,63,66,1,7,0|9|6|12
44,73,68,1,7,0|379|36|14
80,73,89,1,7,0|9|47|5
70,85,84,1,7,0|9|17|6
61,76,82,1,7,0|9|0|9
79,79,88,1,7,0|9|46|5
72,89,76,1,7,0|9|32|5
50,60,69,1,7,0|9|0|12
56,74,82,1,7,0|9|0|10
53,64,81,1,7,0|9|40|9
57,74,78,1,7,0|9|0|11
47,65,66,1,7,0|9|30|13
82,74,88,1,7,0|9|49|5
44,83,78,1,7,0|116|57|14
71,83,82,1,7,0|9|0|8
63,66,75,1,7,0|9|0|9
82,76,80,1,7,0|9|8|5
72,70,69,1,7,0|9|30|5
71,65,84,1,7,0|9|53|6
64,82,74,1,7,0|9|16|8
65,68,87,1,7,0|9|25|11
64,79,79,1,7,0|9|0|9
68,82,81,1,7,0|9|0|8
75,68,73,1,7,0|9|46|5
69,70,79,1,7,0|9|0|9
58,72,75,1,7,0|9|0|11
72,81,82,1,7,0|9|0|9
70,77,71,1,7,0|9|0|7
73,84,74,1,7,0|9|0|7
66,86,83,1,7,0|9|67|5
36,90,77,1,7,0|379|10|18
74,65,81,1,7,0|9|53|6
67,81,88,1,7,0|9|67|5
54,65,85,1,7,0|9|19|9
62,79,80,1,7,0|9|0|9
78,78,87,1,7,0|9|0|6
69,82,86,1,7,0|9|0|7
53,59,75,1,7,0|9|0|12
73,79,70,1,7,0|9|0|7
75,79,75,1,7,0|9|0|9
65,78,85,1,7,0|9|0|9
52,67,79,1,7,0|9|0|11
59,64,85,1,7,0|9|29|10
62,70,70,1,7,0|9|51|8
43,62,67,1,7,0|9|67|15
64,64,77,1,7,0|9|18|9
41,51,60,1,7,0|116|33|16
69,67,73,1,7,0|65|1|14
68,59,77,1,7,0|9|35|16
52,64,72,1,7,0|9|0|11
74,70,70,1,7,0|65|20|14
79,73,74,1,7,0|9|0|6
50,59,69,1,7,0|9|0|13
47,51,61,1,7,0|177|11|18
74,71,77,1,7,0|9|0|7
76,78,83,1,7,0|9|0|9
77,78,70,1,7,0|9|0|6
76,76,79,1,7,0|9|0|10
60,72,81,1,7,0|9|0|14
77,71,84,1,7,0|9|0|7
69,76,87,1,7,0|9|0|8
54,76,76,1,7,0|9|32|8
45,47,69,1,7,0|9|35|16
54,54,76,1,7,0|9|36|11
75,85,74,1,7,0|9|10|5
57,68,84,1,7,0|9|18|11
58,64,71,1,7,0|9|53|8
45,63,68,1,7,0|9|46|10
63,60,79,1,7,0|9|46|10
68,69,88,1,7,0|9|0|7
82,73,86,1,7,0|9|49|5
73,73,70,1,7,0|9|0|6
68,74,89,1,7,0|9|0|7
65,81,72,1,7,0|9|29|5
50,55,76,1,7,0|9|36|11
49,54,69,1,7,0|9|61|12
48,75,79,1,7,0|379|39|14
61,76,76,1,7,0|9|0|10
70,82,85,1,7,0|9|0|7
51,62,79,1,7,0|9|10|10
54,68,84,1,7,0|9|41|9
61,67,81,1,7,0|9|0|12
65,81,85,1,7,0|9|0|7
58,73,75,1,7,0|9|0|11
71,67,79,1,7,0|9|0|6
63,79,76,1,7,0|9|0|10
71,75,86,1,7,0|9|0|9
73,84,82,1,7,0|9|0|7
44,68,71,1,7,0|9|46|10
47,70,75,1,7,0|9|64|10
53,63,75,1,7,0|9|0|12
54,67,67,1,7,0|9|5|12
43,58,69,1,7,0|116|57|14
49,72,71,1,7,0|9|16|11
58,82,75,1,7,0|9|12|8
53,58,78,1,7,0|9|4|12
69,84,76,1,7,0|9|0|7
81,84,82,1,7,0|9|9|5
58,74,84,1,7,0|9|0|8
65,78,77,1,7,0|9|0|11
57,66,81,1,7,0|9|0|11
76,82,73,1,7,0|9|0|6
47,75,72,1,7,0|116|52|13
83,75,75,1,7,0|9|27|5
56,70,76,1,7,0|9|0|11
56,71,73,1,7,0|9|0|9
71,81,81,1,7,0|9|0|10
52,69,64,1,7,0|116|54|11
70,78,80,1,7,0|9|0|12
73,69,82,1,7,0|9|0|8
43,45,68,1,7,0|9|54|16
71,78,88,1,7,0|9|0|7
60,79,80,1,7,0|9|0|9
72,81,70,1,7,0|9|0|6
53,66,75,1,7,0|9|0|10
69,89,77,1,7,0|9|28|5
67,75,89,1,7,0|9|0|7
77,84,81,1,7,0|9|0|7
73,74,80,1,7,0|9|0|10
48,66,74,1,7,0|9|0|11
75,65,81,1,7,0|9|49|5
74,81,85,1,7,0|9|0|7
75,81,85,1,7,0|9|0|7
68,84,88,1,7,0|9|6|6
76,82,70,1,7,0|9|10|5
75,82,74,1,7,0|9|0|8
77,74,78,1,7,0|9|0|8
46,58,76,1,7,0|9|56|11
63,68,76,1,7,0|9|0|13
75,75,74,1,7,0|9|0|9
83,74,74,1,7,0|9|26|5
53,61,74,1,7,0|9|0|12
60,82,83,1,7,0|9|41|7
57,59,74,1,7,0|9|0|14
66,77,86,1,7,0|9|0|9
