x,y,z,Type,State,extra
47,72,55,1,7,0|116|50|4
66,79,77,1,7,0|9|0|10
38,52,81,1,7,0|9|55|4
75,78,93,1,7,0|9|0|3
27,63,71,1,7,0|9|21|10
80,67,65,1,7,0|65|17|7
80,82,74,1,7,0|9|0|5
48,56,64,1,7,0|9|0|9
32,70,64,1,7,0|9|11|11
69,82,62,1,8,0|9|-1|0
82,65,90,1,8,0|9|-1|0
51,55,87,1,7,0|9|7|3
76,88,73,1,7,0|9|0|3
52,76,54,1,7,0|116|19|5
37,86,82,1,7,0|116|0|10
70,86,84,1,7,0|9|0|5
90,75,69,1,8,0|9|-1|0
39,79,79,1,7,0|379|0|9
66,56,73,1,7,0|9|0|11
50,76,83,1,7,0|9|0|7
36,65,75,1,7,0|116|0|12
37,61,56,1,7,0|116|11|11
85,69,77,1,7,0|9|0|2
65,62,67,1,7,0|9|0|8
89,80,82,1,8,0|9|-1|0
36,74,64,1,7,0|9|9|6
56,67,78,1,7,0|9|0|11
83,70,91,1,8,0|9|-1|0
56,63,93,1,7,0|9|0|4
30,93,78,1,7,0|379|29|11
50,47,84,1,7,0|9|39|4
89,69,86,1,8,0|9|-1|0
36,57,54,1,7,0|116|0|11
61,58,59,1,7,0|9|46|3
56,52,65,1,7,0|9|0|6
53,86,80,1,7,0|9|0|3
32,66,62,1,7,0|9|11|11
46,76,75,1,7,0|379|0|14
67,69,74,1,7,0|9|0|7
70,67,98,1,8,0|9|-1|0
56,77,67,1,7,0|9|0|10
65,58,95,1,7,0|9|52|4
64,77,64,1,7,0|9|0|10
68,56,67,1,7,0|9|42|3
83,72,64,1,8,0|9|-1|0
41,46,78,1,7,0|9|53|4
39,78,65,1,7,0|116|0|6
55,46,78,1,7,0|9|0|5
39,48,69,1,7,0|2332|0|12
65,68,71,1,7,0|9|0|8
88,78,77,1,8,0|9|-1|0
44,88,85,1,7,0|116|0|10
58,69,61,1,7,0|9|0|6
75,87,94,1,8,0|9|-1|0
47,66,77,1,7,0|9|0|10
75,89,73,1,7,0|9|0|3
46,49,75,1,7,0|9|0|7
37,53,73,1,7,0|2332|0|14
61,74,82,1,7,0|9|0|10
67,62,93,1,7,0|9|0|1
35,44,64,1,7,0|5312|0|12
39,79,70,1,7,0|116|0|8
48,71,71,1,7,0|9|0|11
56,57,64,1,7,0|9|0|7
50,47,57,1,7,0|9|0|12
51,79,53,1,7,0|9|26|18
78,95,82,1,8,0|9|-1|0
71,72,100,1,8,0|9|-1|0
65,53,62,1,7,0|9|45|3
52,43,58,1,7,0|9|17|12
36,70,83,1,7,0|7737|58|13
62,82,99,1,8,0|9|-1|0
84,86,82,1,7,0|9|0|2
37,63,54,1,7,0|116|67|11
46,58,69,1,7,0|9|0|12
61,82,88,1,7,0|9|0|6
49,65,61,1,7,0|9|0|10
50,68,75,1,7,0|9|0|10
73,77,92,1,7,0|9|0|5
62,87,83,1,7,0|9|0|4
65,48,70,1,7,0|9|35|7
63,76,71,1,7,0|9|0|8
45,60,63,1,7,0|9|0|11
53,74,63,1,7,0|116|0|9
54,70,78,1,7,0|9|0|11
64,73,76,1,7,0|9|0|11
69,57,79,1,7,0|9|0|12
29,91,75,1,7,0|379|46|11
47,49,76,1,7,0|9|0|6
54,52,81,1,7,0|9|0|6
57,68,85,1,7,0|9|0|10
66,64,95,1,7,0|9|0|1
65,83,95,1,8,0|9|-1|0
49,77,64,1,7,0|116|0|9
50,74,63,1,7,0|116|0|10
56,63,59,1,7,0|9|0|6
42,74,75,1,7,0|116|0|10
46,75,63,1,7,0|116|0|9
37,74,64,1,7,0|9|11|6
54,82,61,1,7,0|116|23|5
52,48,78,1,7,0|9|0|5
79,80,83,1,7,0|9|0|7
59,86,88,1,7,0|9|0|3
51,56,66,1,7,0|9|0|10
62,48,67,1,7,0|9|15|4
45,83,91,1,7,0|6977|17|15
47,53,72,1,7,0|9|0|10
52,75,96,1,8,0|9|-1|0
32,64,76,1,7,0|8434|48|14
56,46,76,1,7,0|9|16|4
39,46,68,1,7,0|9|0|10
66,69,91,1,7,0|9|0|5
53,57,60,1,7,0|9|0|7
36,91,71,1,7,0|379|54|12
37,50,64,1,7,0|2332|0|12
31,56,74,1,7,0|9557|31|17
60,67,94,1,7,0|9|0|6
82,64,69,1,7,0|65|16|7
52,67,82,1,7,0|9|0|9
65,50,64,1,7,0|9|18|7
44,53,78,1,7,0|9|0|7
40,76,85,1,7,0|7737|0|11
66,87,77,1,7,0|9|0|4
65,77,66,1,7,0|9|0|2
53,82,82,1,7,0|9|0|6
50,83,64,1,7,0|116|21|5
64,90,90,1,8,0|9|-1|0
77,65,83,1,7,0|9|0|4
71,78,76,1,7,0|9|0|10
55,58,80,1,7,0|9|0|8
55,66,91,1,7,0|9|0|5
35,54,76,1,7,0|2332|45|12
54,51,85,1,7,0|9|21|5
40,43,71,1,7,0|9|55|9
80,89,67,1,8,0|9|-1|0
56,45,67,1,7,0|9|44|3
78,79,95,1,7,0|9|0|1
55,75,84,1,7,0|9|0|6
83,90,83,1,8,0|9|-1|0
44,78,55,1,7,0|65|6|18
83,72,88,1,7,0|9|0|3
43,78,87,1,7,0|116|0|9
53,87,75,1,7,0|379|0|13
67,61,73,1,7,0|9|0|4
50,69,67,1,7,0|116|0|11
36,67,80,1,7,0|8434|7|12
60,76,80,1,7,0|9|0|12
68,69,98,1,8,0|9|-1|0
65,52,70,1,7,0|9|0|4
36,53,67,1,7,0|2332|0|11
40,85,89,1,7,0|116|63|8
65,59,77,1,7,0|9|0|14
66,76,65,1,7,0|9|0|2
58,62,59,1,7,0|9|0|6
