x,y,z,Type,State,extra
68,73,80,1,7,0|9|57|13
74,76,82,1,7,0|9|49|12
75,76,81,1,7,0|9|50|12
73,78,75,1,7,0|9|11|12
64,74,79,1,7,0|9|64|14
71,76,83,1,7,0|9|47|12
72,70,83,1,7,0|9|56|13
59,68,81,1,7,0|9|9|17
74,80,73,1,7,0|9|13|12
74,76,85,1,7,0|9|51|12
61,77,84,1,7,0|9|25|14
76,75,77,1,7,0|9|9|12
49,69,66,1,7,0|116|54|18
72,79,79,1,7,0|9|19|13
70,82,78,1,7,0|9|17|13
70,71,82,1,7,0|9|57|13
67,73,81,1,7,0|9|57|13
73,73,79,1,7,0|9|48|12
75,78,81,1,7,0|9|19|13
68,72,81,1,7,0|9|57|13
71,70,85,1,7,0|9|55|13
72,80,77,1,7,0|9|29|12
60,70,74,1,7,0|9|52|15
74,78,77,1,7,0|9|11|12
73,72,79,1,7,0|9|49|12
71,72,81,1,7,0|9|55|13
72,76,85,1,7,0|9|68|12
70,74,82,1,7,0|9|47|12
69,76,80,1,7,0|9|36|13
72,80,79,1,7,0|9|19|13
75,82,75,1,7,0|9|13|12
74,78,76,1,7,0|9|8|12
67,75,79,1,7,0|9|39|13
53,68,79,1,7,0|9|9|17
70,79,80,1,7,0|9|67|12
63,76,78,1,7,0|9|16|15
67,75,80,1,7,0|9|6|14
74,80,75,1,7,0|9|30|12
69,77,79,1,7,0|9|39|13
65,70,81,1,7,0|9|27|14
71,77,78,1,7,0|9|30|12
74,73,78,1,7,0|9|11|12
53,58,72,1,7,0|9|18|18
76,79,77,1,7,0|9|12|12
68,75,80,1,7,0|9|38|13
68,76,80,1,7,0|9|63|14
70,76,78,1,7,0|9|68|12
72,81,81,1,7,0|9|18|13
73,76,82,1,7,0|9|49|12
49,55,74,1,7,0|9|56|18
73,77,75,1,7,0|9|13|12
70,77,79,1,7,0|9|18|13
74,78,78,1,7,0|9|30|12
64,76,82,1,7,0|9|38|13
72,74,78,1,7,0|9|49|12
76,76,81,1,7,0|9|49|12
67,76,79,1,7,0|9|38|13
72,78,82,1,7,0|9|68|12
72,80,75,1,7,0|9|10|12
74,75,78,1,7,0|9|10|12
68,74,82,1,7,0|9|7|14
73,77,78,1,7,0|9|31|12
69,74,81,1,7,0|9|58|13
65,75,79,1,7,0|9|46|14
66,76,79,1,7,0|9|38|13
57,69,78,1,7,0|9|41|16
75,77,81,1,7,0|9|47|12
72,75,82,1,7,0|9|69|12
69,80,79,1,7,0|9|16|13
71,77,74,1,7,0|9|30|12
71,79,81,1,7,0|9|20|13
59,69,79,1,7,0|9|40|16
64,69,82,1,7,0|9|26|14
62,77,77,1,7,0|9|14|15
60,69,74,1,7,0|9|51|15
74,76,80,1,7,0|9|29|12
76,78,81,1,7,0|9|49|12
76,77,75,1,7,0|9|31|12
57,68,79,1,7,0|9|42|16
63,75,79,1,7,0|9|37|13
67,74,78,1,7,0|9|44|14
71,78,80,1,7,0|9|19|13
52,59,72,1,6,0|9|6|0
74,77,74,1,7,0|9|12|12
75,76,82,1,7,0|9|51|12
69,79,77,1,7,0|9|30|12
56,57,72,1,7,0|9|47|17
64,75,86,1,7,0|9|26|14
74,77,78,1,7,0|9|31|12
62,76,84,1,7,0|9|26|14
75,76,76,1,7,0|9|10|12
58,73,79,1,7,0|9|59|16
60,69,80,1,7,0|9|67|17
75,79,79,1,7,0|9|29|12
76,77,84,1,7,0|9|51|12
56,68,81,1,7,0|9|41|16
71,81,79,1,7,0|9|29|12
71,81,77,1,7,0|9|32|12
74,74,81,1,7,0|9|49|12
60,75,77,1,7,0|9|34|15
69,81,76,1,7,0|9|31|12
74,77,73,1,7,0|9|11|12
67,73,86,1,7,0|9|57|13
59,76,83,1,7,0|9|24|14
55,67,80,1,7,0|9|40|16
72,79,74,1,7,0|9|29|12
76,75,83,1,7,0|9|52|12
73,76,78,1,7,0|9|31|12
72,79,82,1,7,0|9|21|13
69,71,80,1,7,0|9|56|13
58,70,75,1,7,0|9|52|15
55,60,69,1,7,0|9|49|17
69,79,75,1,7,0|9|31|12
64,75,78,1,7,0|9|36|13
53,66,71,1,6,0|9|6|0
72,81,77,1,7,0|9|29|12
71,78,75,1,7,0|9|31|12
49,56,76,1,6,0|9|7|0
60,65,80,1,7,0|9|48|17
70,76,75,1,7,0|9|11|12
60,73,79,1,7,0|9|59|16
60,74,76,1,7,0|9|33|15
73,74,81,1,7,0|9|49|12
65,75,81,1,7,0|9|66|14
73,80,80,1,7,0|9|19|13
68,78,79,1,7,0|9|37|13
57,70,78,1,7,0|9|41|16
57,68,77,1,7,0|9|22|16
73,77,81,1,7,0|9|69|12
66,75,85,1,7,0|9|8|14
72,76,81,1,7,0|9|1|13
73,74,79,1,7,0|9|48|12
49,57,74,1,7,0|9|37|18
69,75,83,1,7,0|9|7|14
64,76,80,1,7,0|9|36|13
76,79,73,1,7,0|9|10|12
72,78,80,1,7,0|9|20|13
63,76,83,1,7,0|9|25|14
55,61,73,1,7,0|9|67|17
73,78,80,1,7,0|9|20|13
73,78,78,1,7,0|9|32|12
76,77,82,1,7,0|9|50|12
74,77,75,1,7,0|9|29|12
60,70,84,1,7,0|9|17|18
54,68,70,1,7,0|9|55|18
65,74,76,1,7,0|9|46|14
65,76,80,1,7,0|9|37|13
72,78,78,1,7,0|9|19|13
71,81,75,1,7,0|9|31|12
66,74,78,1,7,0|9|44|14
74,77,80,1,7,0|9|51|12
74,77,81,1,7,0|9|49|12
73,74,80,1,7,0|9|49|12
77,77,80,1,7,0|9|48|12
73,77,74,1,7,0|9|28|12
68,76,78,1,7,0|9|38|13
68,74,79,1,7,0|9|38|13
55,58,71,1,7,0|9|48|17
76,74,83,1,7,0|9|51|12
75,78,73,1,7,0|9|13|12
63,68,79,1,6,0|9|6|0
71,79,77,1,7,0|9|28|12
74,74,80,1,7,0|9|48|12
70,79,77,1,7,0|9|17|13
71,75,81,1,7,0|9|68|12
68,70,83,1,7,0|9|57|13
75,77,82,1,7,0|9|18|13
55,69,75,1,7,0|9|22|16
67,75,81,1,7,0|9|37|13
74,77,76,1,7,0|9|11|12
53,59,73,1,7,0|9|36|18
63,74,78,1,7,0|9|65|14
70,72,81,1,7,0|9|56|13
78,76,76,1,7,0|9|29|12
74,76,76,1,7,0|9|12|12
64,74,77,1,7,0|9|46|14
73,80,74,1,7,0|9|31|12
72,75,84,1,7,0|9|67|12
73,77,82,1,7,0|9|50|12
73,74,78,1,7,0|9|47|12
70,78,73,1,7,0|9|29|12
65,73,80,1,7,0|9|26|14
71,76,76,1,7,0|9|10|12
72,75,80,1,7,0|9|49|12
76,77,83,1,7,0|9|50|12
72,79,81,1,7,0|9|19|13
72,74,81,1,7,0|9|50|12
75,77,84,1,7,0|9|50|12
72,75,81,1,7,0|9|48|12
60,67,82,1,7,0|9|55|18
73,79,76,1,7,0|9|32|12
73,80,79,1,7,0|9|12|12
59,68,78,1,7,0|9|21|16
76,77,78,1,7,0|9|12|12
74,76,83,1,7,0|9|50|12
67,78,79,1,7,0|9|39|13
60,75,84,1,7,0|9|25|14
76,76,79,1,7,0|9|49|12
71,71,84,1,7,0|9|55|13
73,79,73,1,7,0|9|9|12
68,75,82,1,7,0|9|6|14
75,78,80,1,7,0|9|30|12
76,75,86,1,7,0|9|48|12
76,77,73,1,7,0|9|29|12
74,75,82,1,7,0|9|50|12
65,75,75,1,7,0|9|45|14
66,75,77,1,7,0|9|45|14
48,66,72,1,7,0|9|67|17
70,77,76,1,7,0|9|12|12
55,62,76,1,7,0|9|10|17
73,77,77,1,7,0|9|29|12
70,76,81,1,7,0|9|2|13
66,77,78,1,7,0|9|38|13
70,76,83,1,7,0|9|1|13
70,80,78,1,7,0|9|30|12
63,76,77,1,7,0|9|14|15
68,72,80,1,7,0|9|57|13
69,78,82,1,7,0|9|68|12
75,77,79,1,7,0|9|10|12
73,78,83,1,7,0|9|46|12
63,76,76,1,7,0|9|44|14
69,75,80,1,7,0|9|37|13
71,77,81,1,7,0|9|68|12
70,75,80,1,7,0|9|7|14
76,77,81,1,7,0|9|50|12
73,78,76,1,7,0|9|12|12
62,70,82,1,7,0|9|36|18
62,77,78,1,7,0|9|15|15
73,78,81,1,7,0|9|19|13
77,76,77,1,7,0|9|30|12
76,78,73,1,7,0|9|11|12
69,72,83,1,7,0|9|57|13
74,80,80,1,7,0|9|31|12
71,81,82,1,7,0|9|17|13
66,76,78,1,7,0|9|37|13
77,76,80,1,7,0|9|48|12
50,62,71,1,7,0|9|17|18
70,74,77,1,7,0|9|28|12
72,78,74,1,7,0|9|32|12
59,73,77,1,7,0|9|32|15
68,77,80,1,7,0|9|68|12
72,75,79,1,7,0|9|50|12
68,79,82,1,7,0|9|69|12
65,76,78,1,7,0|9|45|14
76,80,74,1,7,0|9|12|12
60,75,76,1,7,0|9|33|15
69,77,83,1,7,0|9|69|12
75,75,76,1,7,0|9|11|12
70,81,79,1,7,0|9|18|13
56,68,74,1,7,0|9|21|16
68,76,79,1,7,0|9|64|14
58,67,77,1,7,0|9|20|16
75,75,78,1,7,0|9|12|12
53,60,71,1,7,0|9|55|18
71,72,84,1,7,0|9|55|13
76,75,81,1,7,0|9|50|12
67,75,84,1,7,0|9|8|14
48,66,75,1,7,0|9|29|17
56,69,77,1,7,0|9|23|16
71,77,75,1,7,0|9|30|12
65,78,79,1,7,0|9|37|13
54,58,72,1,7,0|9|68|17
61,68,79,1,7,0|9|10|17
60,68,83,1,7,0|9|29|17
74,77,71,1,7,0|9|12|12
68,74,81,1,7,0|9|5|14
65,72,81,1,7,0|9|25|14
63,75,76,1,7,0|9|45|14
74,78,79,1,7,0|9|30|12
59,71,78,1,7,0|9|39|16
64,77,77,1,7,0|9|15|15
67,74,81,1,7,0|9|7|14
72,79,76,1,7,0|9|33|12
65,75,82,1,7,0|9|65|14
76,78,76,1,7,0|9|9|12
70,76,84,1,7,0|9|1|13
73,80,75,1,7,0|9|10|12
74,76,75,1,7,0|9|11|12
65,74,78,1,7,0|9|46|14
70,71,84,1,7,0|9|56|13
74,78,81,1,7,0|9|47|12
69,75,81,1,7,0|9|6|14
73,75,79,1,7,0|9|30|12
70,74,83,1,7,0|9|8|14
72,70,85,1,7,0|9|54|13
73,77,80,1,7,0|9|69|12
48,66,71,1,7,0|9|47|17
70,72,85,1,7,0|9|56|13
59,70,82,1,7,0|9|28|17
72,78,79,1,7,0|9|30|12
71,79,78,1,7,0|9|13|12
76,77,76,1,7,0|9|9|12
68,76,85,1,7,0|9|7|14
73,79,80,1,7,0|9|20|13
76,76,80,1,7,0|9|49|12
75,77,80,1,7,0|9|48|12
72,78,84,1,7,0|9|69|12
74,75,84,1,7,0|9|50|12
66,74,77,1,7,0|9|44|14
75,76,75,1,7,0|9|9|12
72,81,75,1,7,0|9|32|12
72,76,76,1,7,0|9|11|12
72,79,77,1,7,0|9|9|12
67,77,79,1,7,0|9|40|13
72,73,78,1,7,0|9|48|12
74,76,79,1,7,0|9|50|12
72,80,76,1,7,0|9|30|12
59,74,78,1,7,0|9|60|16
70,73,82,1,7,0|9|56|13
66,75,80,1,7,0|9|36|13
75,76,85,1,7,0|9|50|12
73,77,76,1,7,0|9|10|12
62,76,82,1,7,0|9|37|13
49,65,75,1,7,0|9|28|17
72,81,78,1,7,0|9|28|12
70,80,79,1,7,0|9|18|13
54,69,79,1,7,0|9|10|17
68,72,82,1,7,0|9|58|13
73,82,80,1,7,0|9|30|12
71,77,80,1,7,0|9|69|12
72,77,75,1,7,0|9|11|12
72,80,80,1,7,0|9|29|12
73,83,79,1,7,0|9|29|12
70,78,78,1,7,0|9|19|13
60,69,76,1,7,0|9|52|15
67,71,82,1,7,0|9|58|13
64,72,80,1,7,0|9|27|14
73,78,77,1,7,0|9|30|12
72,76,80,1,7,0|9|67|12
63,76,80,1,7,0|9|13|15
63,71,82,1,7,0|9|28|14
76,77,77,1,7,0|9|13|12
76,75,82,1,7,0|9|51|12
72,75,83,1,7,0|9|48|12
59,70,76,1,7,0|9|53|15
73,79,82,1,7,0|9|17|13
71,77,85,1,7,0|9|68|12
71,77,73,1,7,0|9|31|12
77,77,73,1,7,0|9|30|12
74,80,78,1,7,0|9|11|12
71,80,80,1,7,0|9|19|13
64,77,79,1,7,0|9|39|13
71,75,83,1,7,0|9|69|12
71,78,79,1,7,0|9|18|13
54,61,78,1,7,0|9|11|17
68,73,85,1,7,0|9|58|13
70,77,81,1,7,0|9|1|13
68,73,83,1,7,0|9|56|13
69,75,79,1,7,0|9|64|14
75,76,74,1,7,0|9|30|12
66,76,81,1,7,0|9|37|13
72,77,76,1,7,0|9|29|12
73,79,79,1,7,0|9|31|12
69,74,82,1,7,0|9|58|13
73,75,81,1,7,0|9|47|12
65,78,80,1,7,0|9|38|13
70,74,81,1,7,0|9|49|12
71,81,80,1,7,0|9|17|13
76,80,76,1,7,0|9|11|12
73,79,78,1,7,0|9|12|12
49,69,68,1,7,0|9|17|18
49,65,72,1,7,0|9|48|17
72,77,78,1,7,0|9|11|12
59,69,76,1,7,0|9|53|15
73,76,80,1,7,0|9|30|12
73,80,76,1,7,0|9|10|12
75,80,74,1,7,0|9|14|12
71,79,79,1,7,0|9|20|13
71,75,78,1,7,0|9|29|12
72,79,80,1,7,0|9|18|13
70,70,82,1,7,0|9|56|13
65,71,79,1,7,0|9|26|14
71,78,82,1,7,0|9|68|12
75,77,74,1,7,0|9|10|12
64,75,83,1,7,0|9|27|14
63,74,77,1,7,0|9|35|15
70,73,84,1,7,0|9|6|14
73,73,80,1,7,0|9|49|12
71,79,82,1,7,0|9|66|12
72,78,75,1,7,0|9|31|12
69,77,81,1,7,0|9|1|13
73,81,77,1,7,0|9|11|12
71,75,80,1,7,0|9|48|12
63,77,79,1,7,0|9|37|13
55,66,80,1,7,0|9|21|16
68,73,81,1,7,0|9|59|13
62,75,77,1,7,0|9|34|15
72,80,78,1,7,0|9|12|12
74,75,74,1,7,0|9|12|12
70,81,77,1,7,0|9|30|12
63,76,79,1,7,0|9|14|15
68,75,79,1,7,0|9|67|12
66,73,81,1,7,0|9|56|13
75,76,84,1,7,0|9|49|12
68,74,80,1,7,0|9|65|14
70,80,76,1,7,0|9|32|12
56,60,68,1,7,0|9|48|17
68,74,84,1,7,0|9|9|14
75,78,75,1,7,0|9|10|12
72,76,79,1,7,0|9|48|12
69,71,81,1,7,0|9|56|13
62,75,85,1,7,0|9|26|14
71,71,81,1,7,0|9|55|13
71,78,77,1,7,0|9|28|12
67,75,77,1,7,0|9|45|14
71,76,82,1,7,0|9|48|12
71,80,77,1,7,0|9|31|12
62,74,79,1,7,0|9|33|15
64,72,82,1,7,0|9|27|14
74,79,78,1,7,0|9|18|13
71,78,83,1,7,0|9|67|12
69,79,81,1,7,0|9|18|13
72,75,76,1,7,0|9|30|12
64,74,80,1,7,0|9|36|13
71,76,84,1,7,0|9|69|12
75,76,78,1,7,0|9|12|12
68,75,83,1,7,0|9|8|14
73,78,74,1,7,0|9|11|12
74,76,77,1,7,0|9|10|12
76,76,76,1,7,0|9|10|12
74,76,81,1,7,0|9|49|12
65,74,77,1,7,0|9|47|14
72,80,82,1,7,0|9|18|13
60,70,76,1,7,0|9|54|15
72,76,83,1,7,0|9|49|12
71,75,82,1,7,0|9|48|12
75,79,77,1,7,0|9|11|12
75,78,83,1,7,0|9|49|12
56,67,79,1,7,0|9|22|16
72,80,81,1,7,0|9|28|12
71,79,75,1,7,0|9|31|12
50,70,67,1,6,0|116|5|0
64,75,77,1,7,0|9|45|14
75,78,78,1,7,0|9|10|12
71,77,77,1,7,0|9|27|12
75,75,77,1,7,0|9|11|12
66,75,78,1,7,0|9|43|14
74,77,82,1,7,0|9|68|12
72,77,83,1,7,0|9|48|12
60,64,80,1,7,0|9|47|17
66,77,80,1,7,0|9|39|13
64,77,78,1,7,0|9|15|15
58,74,79,1,7,0|9|58|16
65,74,80,1,7,0|9|35|13
57,70,77,1,7,0|9|40|16
66,78,80,1,7,0|9|38|13
73,75,75,1,7,0|9|11|12
70,75,75,1,7,0|9|10|12
74,78,74,1,7,0|9|12|12
75,77,86,1,7,0|9|49|12
69,76,81,1,7,0|9|7|14
70,76,80,1,7,0|9|69|12
69,70,84,1,7,0|9|57|13
76,76,77,1,7,0|9|11|12
70,73,81,1,7,0|9|57|13
63,73,78,1,7,0|9|34|15
64,77,80,1,7,0|9|38|13
60,69,77,1,7,0|9|53|15
75,76,79,1,7,0|9|50|12
69,77,80,1,7,0|9|62|14
65,75,80,1,7,0|9|63|14
69,76,78,1,7,0|9|63|14
69,74,79,1,7,0|9|63|14
64,73,79,1,7,0|9|64|14
64,74,82,1,7,0|9|64|14
67,73,80,1,7,0|9|64|14
64,75,80,1,7,0|9|65|14
71,80,81,1,7,0|9|65|12
70,78,79,1,7,0|9|66|12
60,68,79,1,7,0|9|66|17
54,60,72,1,7,0|9|66|17
72,75,85,1,7,0|9|66|12
49,67,73,1,7,0|9|66|17
70,75,81,1,7,0|9|66|12
67,76,80,1,7,0|9|66|12
71,77,82,1,7,0|9|66|12
71,77,84,1,7,0|9|67|12
69,77,78,1,7,0|9|67|12
72,79,83,1,7,0|9|67|12
70,76,82,1,7,0|9|67|12
70,79,82,1,7,0|9|67|12
71,76,81,1,7,0|9|67|12
67,78,80,1,7,0|9|67|12
54,59,72,1,7,0|9|67|17
72,77,84,1,7,0|9|67|12
70,79,83,1,7,0|9|67|12
73,77,83,1,7,0|9|67|12
71,74,82,1,7,0|9|68|12
72,76,82,1,7,0|9|68|12
68,80,81,1,7,0|9|68|12
69,76,82,1,7,0|9|68|12
72,77,80,1,7,0|9|68|12
73,78,84,1,7,0|9|68|12
72,77,81,1,7,0|9|68|12
72,76,84,1,7,0|9|68|12
71,77,83,1,7,0|9|68|12
70,77,80,1,7,0|9|68|12
